Business Name,Website,Phone,Email,Instagram,Facebook,LinkedIn,WhatsApp,City,State,Rating,Reviews,Quality Score,Notes
Wicker Park Orthodontics,http://www.wickerparkorthodontics.com/,+1 773-276-0335,,,,,,,,4.9,,10,Error: 403
Lincoln Square Orthodontics,https://www.chicagoorthodontics.com/lincoln-square/,+1 773-887-0772,,,,,,,,4.9,,10,Error: 403
Chicago Smile Specialists,http://chicagosmilespecialists.com/,", +1 773-772-2545","info@chicagosmilespecialists.com, info@theorthosuite.com",,https://www.facebook.com/Chicago-Smile-Specialists-230464387071848/reviews/,,,,,4.7,,8,No booking system detected. 
Puresmile Orthodontics of Illinois,,+1 312-929-4783,,,,,,,,4.7,,10,No Website listed on Maps.
Department of Orthodontics - University of Illinois at Chicago,https://dentistry.uic.edu/academics/academic-departments/department-of-orthodontics/,+1 312-996-7555,,,,,,,,4.7,,10,Error: 403
The Magnificent Smile,https://www.themagnificentsmile.com/,+1 312-337-4424,,,,,,,,4.7,,10,Error: 403
Enamel Dental Studio,http://www.enameldentalchicago.com/,", +1 312-586-2900",,https://www.instagram.com/enameldentalchicago/,https://www.facebook.com/enameldentalchicago/,,,,,4.7,,8,No booking system detected. 
Bridgeport Smiles of Chicago,http://www.dentistbridgeportchicago.com/,+1 312-827-6464,,,,,,,,4.7,,10,Error: 403
Setty Dental Group,http://settydentalgroup.com/,+1 312-525-8832,,,,,,,,4.7,,10,Error: 403
Chicago Style Smiles,https://chicagostylesmiles.com/,+1 312-372-4845,,,,,,,,4.7,,10,Error: 403
Oz Park Family Dental,http://www.ozparkfamilydental.com/,"+1 773-871-3393, ",,https://www.instagram.com/ozparkfamilydental/,https://www.facebook.com/OzParkFamilyDental,,,,,4.7,,10,
Chicago Loop Dentistry,https://chicagoloopdentistry.com/,+1 312-372-3323,,,,,,,,4.7,,10,Error: 403
Hilliard I Blank & Associates,http://hilliardblankdds.com/,+1 773-248-8836,,,,,,,,4.7,,10,Error: 406
Apple Dental Care,http://www.appledentalcare.org/,", +1 773-384-3500",,,//www.facebook.com/appledentalcarechicago,,,,,4.7,,8,No booking system detected. 
"ORA Dental Studio - Wicker Park, Chicago",https://www.oradentalstudio.com/studios/wicker-park/?utm_source=google&utm_medium=organic&utm_campaign=gbp,+1 773-227-6721,,,,,,,,4.7,,10,Error: 406
Yvette Battle,,+1 312-429-5533,,,,,,,,4.7,,10,No Website listed on Maps.
University of Illinois Chicago College of Dentistry,http://dentistry.uic.edu/patients,+1 312-996-7555,,,,,,,,4.7,,10,Error: 403
